PRISM Time Series Data
Location:  Lat: 37.3868   Lon: -80.5021   Elev: 1005m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1895-01 - 2023-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-May-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
1902-07,57.15,20.5
1902-08,51.03,19.5
1902-09,81.50,15.1
1902-10,91.89,11.1
1902-11,90.57,8.3
1902-12,116.71,0.2
1903-01,94.23,-1.7
1903-02,154.89,0.2
1903-03,158.42,7.0
1903-04,119.62,8.7
1903-05,56.32,15.3
1903-06,126.95,16.0
1903-07,90.80,20.2
1903-08,85.22,19.8
1903-09,66.26,15.5
1903-10,55.15,10.4
1903-11,57.16,1.7
1903-12,54.30,-3.9
1904-01,57.76,-3.7
1904-02,62.98,-3.0
1904-03,93.60,3.9
1904-04,70.52,6.6
1904-05,107.39,13.7
1904-06,143.87,18.2
1904-07,108.60,19.1
1904-08,91.41,18.9
1904-09,52.62,16.3
1904-10,12.50,10.0
1904-11,41.84,3.1
1904-12,96.98,-1.0
1905-01,85.03,-3.7
1905-02,88.52,-4.9
1905-03,74.05,6.2
1905-04,71.35,9.5
1905-05,158.52,15.6
1905-06,85.52,18.2
1905-07,218.30,19.9
1905-08,127.64,18.4
1905-09,63.57,16.3
1905-10,81.59,9.9
1905-11,28.02,3.7
1905-12,126.91,-0.6
1906-01,124.70,1.2
1906-02,32.29,-1.2
1906-03,115.23,0.9
1906-04,66.19,9.6
1906-05,71.30,13.9
1906-06,126.36,18.3
1906-07,142.63,19.0
1906-08,185.42,21.2
1906-09,89.87,18.0
1906-10,132.24,9.3
1906-11,70.65,4.8
1906-12,88.69,0.5
1907-01,78.13,3.0
1907-02,64.23,-2.3
1907-03,89.17,6.9
1907-04,104.03,4.7
1907-05,89.97,12.2
1907-06,199.76,15.3
1907-07,105.62,20.2
1907-08,92.05,18.5
1907-09,185.42,16.8
1907-10,42.46,7.8
1907-11,116.71,3.4
1907-12,102.73,-0.2
1908-01,99.86,-3.1
1908-02,103.40,-4.0
1908-03,122.32,6.9
1908-04,114.97,10.3
1908-05,126.40,14.3
1908-06,113.77,17.7
1908-07,126.01,19.9
1908-08,129.22,18.3
1908-09,54.15,14.7
1908-10,119.79,9.6
1908-11,38.99,4.2
1908-12,101.05,-0.1
1909-01,68.37,1.1
1909-02,80.05,2.1
1909-03,103.28,2.4
1909-04,101.70,9.2
1909-05,128.21,12.8
1909-06,125.86,19.2
1909-07,119.51,17.8
1909-08,76.07,17.9
1909-09,87.52,14.4
1909-10,66.47,7.9
1909-11,24.92,6.7
1909-12,75.16,-3.7
1910-01,89.41,-1.8
1910-02,75.04,-2.4
1910-03,31.79,7.0
1910-04,116.38,9.3
1910-05,98.51,11.6
1910-06,196.60,16.1
1910-07,138.78,20.2
1910-08,80.89,18.5
1910-09,90.91,17.6
1910-10,83.48,11.9
1910-11,34.81,1.4
1910-12,69.44,-3.8
1911-01,116.25,1.0
1911-02,53.34,1.8
1911-03,110.58,2.8
1911-04,124.26,7.0
1911-05,42.21,15.6
1911-06,107.88,18.6
1911-07,98.72,19.6
1911-08,158.71,20.3
1911-09,68.48,18.9
1911-10,142.24,12.7
1911-11,65.93,3.3
1911-12,94.95,3.4
1912-01,58.50,-4.4
1912-02,67.63,-2.5
1912-03,174.70,3.3
1912-04,118.12,11.3
1912-05,109.73,15.1
1912-06,92.72,17.6
1912-07,132.08,19.7
1912-08,72.41,18.4
1912-09,149.16,17.8
1912-10,46.46,10.4
1912-11,67.65,3.2
1912-12,63.02,0.4
1913-01,87.76,4.0
1913-02,67.35,-0.3
1913-03,158.04,6.0
1913-04,81.45,9.7
1913-05,151.75,14.4
1913-06,127.55,18.1
1913-07,119.45,20.7
1913-08,85.72,19.7
1913-09,79.89,14.9
1913-10,121.56,10.4
1913-11,72.46,7.3
1913-12,60.53,2.2
1914-01,112.65,0.8
1914-02,101.66,-1.5
1914-03,98.01,2.4
1914-04,73.14,9.4
1914-05,38.78,15.2
1914-06,41.69,21.0
1914-07,124.98,19.7
1914-08,90.26,19.5
1914-09,54.55,15.3
1914-10,103.05,11.9
1914-11,68.61,3.6
1914-12,164.25,-2.3
1915-01,117.89,-1.7
1915-02,90.60,1.2
1915-03,45.26,-0.5
1915-04,51.40,10.3
1915-05,100.37,14.6
1915-06,76.56,17.3
1915-07,97.29,19.4
1915-08,149.21,18.7
1915-09,109.45,17.2
1915-10,116.90,12.3
1915-11,53.24,5.4
1915-12,114.28,-1.1
1916-01,76.93,2.3
1916-02,102.18,-0.8
1916-03,72.43,2.5
1916-04,75.19,8.1
1916-05,96.16,15.6
1916-06,147.25,16.6
1916-07,149.17,20.4
1916-08,126.84,19.7
1916-09,91.04,14.9
1916-10,67.72,10.2
1916-11,38.08,4.6
1916-12,80.38,-1.1
1917-01,94.99,0.5
1917-02,86.97,-2.0
1917-03,198.78,4.0
1917-04,82.39,9.6
1917-05,128.58,10.9
1917-06,74.34,17.4
1917-07,141.15,19.4
1917-08,60.62,19.4
1917-09,74.23,15.0
1917-10,87.25,7.5
1917-11,18.29,3.3
1917-12,51.99,-5.9
1918-01,135.02,-7.5
1918-02,46.10,0.9
1918-03,130.15,6.9
1918-04,167.78,8.0
1918-05,108.29,16.2
1918-06,166.58,17.3
1918-07,119.56,17.8
1918-08,141.24,20.4
1918-09,89.41,13.2
1918-10,126.48,12.3
1918-11,46.74,4.2
1918-12,132.69,2.4
1919-01,115.44,-0.3
1919-02,75.55,-0.2
1919-03,89.04,5.2
1919-04,79.33,8.9
1919-05,164.42,14.3
1919-06,176.96,19.0
1919-07,173.92,20.7
1919-08,91.15,18.4
1919-09,29.61,15.9
1919-10,122.41,15.1
1919-11,77.56,5.4
1919-12,108.43,-1.7
1920-01,84.04,-2.2
1920-02,86.90,-2.7
1920-03,103.50,3.5
1920-04,121.45,7.6
1920-05,90.91,11.8
1920-06,129.17,16.8
1920-07,105.28,18.5
1920-08,150.46,18.8
1920-09,83.09,16.8
1920-10,11.92,11.0
1920-11,142.72,3.9
1920-12,87.33,0.1
1921-01,87.72,-0.4
1921-02,78.23,1.0
1921-03,54.08,9.7
1921-04,75.86,10.8
1921-05,108.27,13.2
1921-06,92.96,19.1
1921-07,123.60,20.3
1921-08,78.45,18.0
1921-09,84.33,19.1
1921-10,87.86,10.1
1921-11,106.91,6.7
1921-12,98.75,1.5
1922-01,80.24,-2.0
1922-02,102.35,2.2
1922-03,160.17,5.5
1922-04,75.95,10.7
1922-05,125.64,14.7
1922-06,126.17,18.9
1922-07,141.63,20.0
1922-08,78.39,17.8
1922-09,40.06,16.7
1922-10,87.58,11.2
1922-11,20.00,5.2
1922-12,148.53,2.1
1923-01,98.18,0.2
1923-02,99.14,-1.2
1923-03,125.63,4.4
1923-04,87.99,8.7
1923-05,99.43,13.5
1923-06,118.19,18.6
1923-07,107.56,19.3
1923-08,133.36,19.1
1923-09,99.17,16.9
1923-10,42.94,9.6
1923-11,77.93,3.7
1923-12,117.36,4.3
1924-01,108.14,-2.6
1924-02,67.61,-1.6
1924-03,87.59,1.9
1924-04,92.93,8.4
1924-05,186.08,11.8
1924-06,97.07,18.1
1924-07,105.12,18.4
1924-08,135.58,19.2
1924-09,175.80,13.6
1924-10,25.45,10.4
1924-11,60.09,4.8
1924-12,110.09,-0.4
1925-01,101.70,-2.3
1925-02,60.02,3.0
1925-03,59.02,4.9
1925-04,80.61,10.3
1925-05,70.26,11.4
1925-06,77.35,20.0
1925-07,90.43,20.5
1925-08,46.89,18.9
1925-09,69.70,19.5
1925-10,117.84,8.7
1925-11,75.32,3.2
1925-12,51.56,-0.8
1926-01,103.13,-2.2
1926-02,95.63,0.9
1926-03,77.26,0.6
1926-04,57.53,7.5
1926-05,88.23,14.3
1926-06,54.96,16.8
1926-07,118.81,20.3
1926-08,131.53,20.7
1926-09,67.01,18.2
1926-10,118.12,11.1
1926-11,114.56,2.5
1926-12,160.37,-0.1
1927-01,45.40,-0.6
1927-02,123.98,4.1
1927-03,54.59,5.2
1927-04,153.85,9.1
1927-05,116.43,14.5
1927-06,71.49,16.7
1927-07,156.90,19.5
1927-08,121.51,17.3
1927-09,47.13,16.9
1927-10,125.79,11.5
1927-11,79.10,6.5
1927-12,121.37,-0.1
1928-01,54.80,-0.6
1928-02,53.32,-0.3
1928-03,90.16,4.1
1928-04,119.26,7.6
1928-05,90.84,13.1
1928-06,124.00,17.0
1928-07,93.47,20.4
1928-08,220.83,20.3
1928-09,191.22,14.1
1928-10,52.08,11.3
1928-11,52.89,4.8
1928-12,40.96,0.6
1929-01,67.30,-1.6
1929-02,109.77,-2.1
1929-03,122.03,6.5
1929-04,107.39,11.4
1929-05,155.22,13.9
1929-06,136.79,17.4
1929-07,114.68,19.3
1929-08,82.48,18.2
1929-09,67.27,16.1
1929-10,205.20,9.2
1929-11,107.36,4.8
1929-12,58.06,0.7
1930-01,54.05,0.1
1930-02,35.78,2.8
1930-03,74.50,2.8
1930-04,45.85,9.7
1930-05,77.04,15.4
1930-06,54.81,18.0
1930-07,30.61,21.8
1930-08,53.24,19.1
1930-09,31.81,19.1
1930-10,31.59,8.8
1930-11,57.17,3.6
1930-12,87.91,-2.8
1931-01,40.75,-0.5
1931-02,54.37,1.2
1931-03,110.67,0.7
1931-04,107.69,8.8
1931-05,134.19,13.8
1931-06,70.33,18.8
1931-07,144.98,21.9
1931-08,179.76,18.9
1931-09,62.93,18.5
1931-10,31.57,11.7
1931-11,20.02,8.6
1931-12,109.12,4.0
1932-01,107.95,4.2
1932-02,90.20,4.0
1932-03,148.14,1.1
1932-04,72.75,8.8
1932-05,119.09,14.4
1932-06,132.71,18.6
1932-07,89.36,20.8
1932-08,66.77,20.2
1932-09,54.54,16.7
1932-10,169.22,10.9
1932-11,112.43,3.4
1932-12,107.33,1.2
1933-01,82.59,2.7
1933-02,89.79,-0.2
1933-03,107.12,3.5
1933-04,103.30,9.3
1933-05,146.96,16.5
1933-06,57.93,19.4
1933-07,144.63,20.0
1933-08,77.05,19.4
1933-09,29.49,19.4
1933-10,32.96,9.9
1933-11,42.54,4.0
1933-12,88.86,3.1
1934-01,37.22,0.9
1934-02,77.33,-4.8
1934-03,165.69,2.5
1934-04,94.52,9.6
1934-05,61.71,15.5
1934-06,88.28,20.6
1934-07,142.22,22.7
1934-08,108.88,19.8
1934-09,146.75,17.3
1934-10,60.44,10.5
1934-11,157.46,6.1
1934-12,78.18,-0.5
1935-01,140.94,-0.6
1935-02,70.89,0.3
1935-03,189.78,7.2
1935-04,122.51,8.0
1935-05,107.47,13.3
1935-06,71.65,16.4
1935-07,158.34,18.9
1935-08,88.54,20.8
1935-09,112.70,16.9
1935-10,65.30,11.1
1935-11,97.45,6.1
1935-12,71.15,-3.8
1936-01,162.16,-4.6
1936-02,95.97,-3.0
1936-03,160.61,4.6
1936-04,102.83,8.3
1936-05,49.43,15.9
1936-06,76.22,19.1
1936-07,112.38,21.3
1936-08,121.70,21.0
1936-09,117.72,17.9
1936-10,100.24,12.1
1936-11,35.09,3.7
1936-12,135.33,1.6
1937-01,197.14,4.8
1937-02,86.05,-0.4
1937-03,35.23,2.7
1937-04,103.84,9.0
1937-05,78.69,14.7
1937-06,97.09,19.1
1937-07,113.44,19.2
1937-08,244.60,20.3
1937-09,66.69,14.8
1937-10,239.64,7.8
1937-11,54.29,3.0
1937-12,45.55,-0.5
1938-01,68.51,-0.8
1938-02,40.88,3.0
1938-03,94.77,7.1
1938-04,73.95,10.4
1938-05,136.77,14.2
1938-06,179.08,17.2
1938-07,216.94,20.2
1938-08,89.48,20.2
1938-09,77.87,16.7
1938-10,20.57,11.0
1938-11,122.39,6.5
1938-12,61.79,-0.1
1939-01,84.43,0.4
1939-02,141.95,2.6
1939-03,76.28,5.7
1939-04,68.04,8.2
1939-05,44.84,15.2
1939-06,136.34,20.6
1939-07,122.01,19.7
1939-08,133.38,19.6
1939-09,16.95,17.8
1939-10,54.48,12.1
1939-11,42.58,3.2
1939-12,65.31,0.8
1940-01,56.81,-8.1
1940-02,75.12,-1.2
1940-03,73.60,1.8
1940-04,143.71,8.3
1940-05,135.22,13.4
1940-06,115.19,17.6
1940-07,136.46,18.8
1940-08,283.40,18.5
1940-09,32.93,14.1
1940-10,33.77,10.6
1940-11,84.57,4.7
1940-12,93.10,2.9
1941-01,55.36,-1.1
1941-02,31.39,-3.0
1941-03,61.42,0.4
1941-04,84.34,11.4
1941-05,25.00,15.4
1941-06,124.71,18.8
1941-07,190.84,21.1
1941-08,81.74,20.4
1941-09,51.52,18.6
1941-10,38.42,13.8
1941-11,48.71,6.1
1941-12,93.62,3.1
1942-01,48.54,-1.7
1942-02,49.80,-3.3
1942-03,88.65,4.6
1942-04,15.28,11.5
1942-05,165.08,15.8
1942-06,166.29,19.3
1942-07,73.08,21.1
1942-08,187.64,19.4
1942-09,133.99,16.6
1942-10,122.58,11.3
1942-11,68.41,5.6
1942-12,139.28,-1.7
1943-01,79.86,0.9
1943-02,53.51,0.1
1943-03,119.64,2.6
1943-04,90.06,7.5
1943-05,123.26,15.3
1943-06,86.99,21.7
1943-07,138.37,20.2
1943-08,55.36,20.5
1943-09,34.82,15.2
1943-10,53.20,10.3
1943-11,45.88,4.5
1943-12,77.57,-0.3
1944-01,59.57,-0.4
1944-02,147.82,1.2
1944-03,136.37,2.9
1944-04,66.35,8.3
1944-05,115.85,16.9
1944-06,62.50,19.3
1944-07,87.98,19.5
1944-08,54.33,19.2
1944-09,192.60,16.6
1944-10,111.20,10.0
1944-11,56.22,3.8
1944-12,73.58,-2.4
1945-01,74.52,-2.0
1945-02,101.57,1.3
1945-03,79.84,9.8
1945-04,79.71,10.8
1945-05,152.97,11.8
1945-06,79.93,17.4
1945-07,139.60,19.4
1945-08,66.28,19.1
1945-09,211.02,17.9
1945-10,44.99,10.1
1945-11,92.58,5.4
1945-12,104.76,-3.3
1946-01,124.51,-0.6
1946-02,68.67,1.3
1946-03,93.29,8.0
1946-04,84.23,10.6
1946-05,129.15,13.3
1946-06,89.00,17.8
1946-07,138.14,19.6
1946-08,45.34,16.9
1946-09,62.52,16.0
1946-10,76.18,11.7
1946-11,50.32,7.7
1946-12,75.20,2.2
1947-01,156.82,2.8
1947-02,67.92,-5.5
1947-03,93.29,-1.0
1947-04,77.32,11.1
1947-05,73.61,14.0
1947-06,97.21,17.1
1947-07,93.07,18.2
1947-08,180.61,21.0
1947-09,112.06,16.7
1947-10,127.88,13.0
1947-11,89.32,3.6
1947-12,20.47,0.4
1948-01,68.98,-4.2
1948-02,92.27,1.2
1948-03,108.69,5.9
1948-04,108.49,11.6
1948-05,126.94,14.2
1948-06,146.63,18.5
1948-07,101.88,20.4
1948-08,144.80,19.4
1948-09,95.28,16.2
1948-10,57.40,9.2
1948-11,150.98,7.5
1948-12,175.73,1.2
1949-01,94.22,3.9
1949-02,61.65,3.0
1949-03,76.17,4.2
1949-04,136.11,8.7
1949-05,109.41,14.4
1949-06,130.66,19.4
1949-07,144.64,21.5
1949-08,200.09,19.5
1949-09,61.26,14.7
1949-10,88.35,12.9
1949-11,61.04,3.7
1949-12,71.44,1.7
1950-01,72.30,5.0
1950-02,64.75,1.2
1950-03,64.57,2.6
1950-04,47.33,8.1
1950-05,168.72,15.1
1950-06,111.58,18.1
1950-07,171.77,19.0
1950-08,83.91,18.6
1950-09,123.05,15.3
1950-10,36.78,12.5
1950-11,63.92,2.3
1950-12,124.42,-3.2
1951-01,34.11,-0.6
1951-02,70.02,0.6
1951-03,122.98,3.7
1951-04,138.53,8.4
1951-05,68.38,13.9
1951-06,142.49,18.5
1951-07,86.79,20.3
1951-08,55.69,19.9
1951-09,66.38,16.0
1951-10,21.78,11.9
1951-11,92.65,2.2
1951-12,145.75,0.5
1952-01,113.21,1.9
1952-02,81.08,0.9
1952-03,128.05,3.7
1952-04,110.10,9.6
1952-05,141.44,14.7
1952-06,78.11,21.2
1952-07,85.63,21.5
1952-08,183.11,19.3
1952-09,90.54,15.4
1952-10,30.90,8.6
1952-11,97.56,5.0
1952-12,68.35,-0.0
1953-01,84.36,0.7
1953-02,93.79,1.1
1953-03,146.03,4.5
1953-04,58.09,8.9
1953-05,102.94,17.2
1953-06,119.20,19.6
1953-07,62.94,20.6
1953-08,52.18,19.9
1953-09,39.97,16.3
1953-10,18.21,11.3
1953-11,26.98,4.2
1953-12,86.87,-0.2
1954-01,121.58,-0.3
1954-02,55.57,1.4
1954-03,114.46,3.3
1954-04,61.05,11.9
1954-05,156.67,11.5
1954-06,57.63,18.7
1954-07,129.07,20.7
1954-08,97.75,19.9
1954-09,52.50,17.4
1954-10,153.19,11.1
1954-11,77.83,2.6
1954-12,111.45,-2.0
1955-01,35.90,-2.8
1955-02,111.99,-0.1
1955-03,192.89,4.7
1955-04,81.87,11.2
1955-05,58.12,15.3
1955-06,101.15,15.3
1955-07,121.67,21.7
1955-08,120.56,20.9
1955-09,42.76,16.8
1955-10,41.15,10.6
1955-11,44.00,3.7
1955-12,35.15,-2.4
1956-01,27.74,-3.1
1956-02,124.38,1.6
1956-03,83.58,3.2
1956-04,101.12,7.6
1956-05,108.52,14.8
1956-06,88.93,17.6
1956-07,126.43,19.8
1956-08,43.40,19.3
1956-09,156.81,14.9
1956-10,139.99,11.6
1956-11,54.91,3.7
1956-12,67.62,4.4
1957-01,129.90,-1.6
1957-02,139.42,2.6
1957-03,62.14,3.1
1957-04,131.43,11.1
1957-05,66.43,15.4
1957-06,124.04,18.9
1957-07,67.26,19.9
1957-08,47.15,18.6
1957-09,290.56,16.9
1957-10,65.65,7.9
1957-11,100.10,5.3
1957-12,106.90,0.3
1958-01,88.19,-4.0
1958-02,82.93,-5.4
1958-03,122.08,0.8
1958-04,105.78,8.9
1958-05,128.79,14.0
1958-06,81.52,17.5
1958-07,140.05,20.9
1958-08,117.32,19.2
1958-09,40.00,15.9
1958-10,40.17,9.5
1958-11,47.35,5.9
1958-12,98.69,-2.7
1959-01,55.03,-2.6
1959-02,36.60,0.6
1959-03,95.52,2.7
1959-04,121.79,10.2
1959-05,98.58,16.1
1959-06,44.28,17.6
1959-07,101.42,20.4
1959-08,115.76,20.7
1959-09,179.28,16.6
1959-10,151.03,11.3
1959-11,74.08,3.7
1959-12,82.78,0.4
1960-01,52.03,-0.9
1960-02,158.44,-1.9
1960-03,111.53,-3.9
1960-04,66.79,10.9
1960-05,114.38,12.4
1960-06,69.59,17.8
1960-07,78.33,19.3
1960-08,116.85,20.1
1960-09,96.01,16.6
1960-10,64.67,10.7
1960-11,30.52,4.8
1960-12,56.12,-4.1
1961-01,58.82,-4.3
1961-02,121.02,1.3
1961-03,112.94,5.7
1961-04,107.73,5.8
1961-05,82.71,11.7
1961-06,119.00,16.8
1961-07,95.85,19.1
1961-08,117.86,19.2
1961-09,53.74,17.4
1961-10,99.74,9.6
1961-11,92.09,5.8
1961-12,122.99,-0.7
1962-01,76.83,-2.3
1962-02,90.29,1.3
1962-03,98.99,1.8
1962-04,90.77,7.2
1962-05,94.85,16.5
1962-06,82.02,17.8
1962-07,143.89,18.7
1962-08,63.80,18.6
1962-09,92.17,14.4
1962-10,59.98,10.6
1962-11,144.83,3.2
1962-12,113.02,-3.4
1963-01,36.27,-3.9
1963-02,47.08,-4.4
1963-03,161.49,5.3
1963-04,27.76,9.9
1963-05,103.35,13.4
1963-06,51.62,17.5
1963-07,76.74,18.7
1963-08,57.13,18.3
1963-09,90.37,14.7
1963-10,5.84,11.1
1963-11,112.00,4.8
1963-12,52.48,-5.1
1964-01,102.72,-1.7
1964-02,109.87,-3.6
1964-03,71.47,3.8
1964-04,102.60,9.8
1964-05,46.31,14.8
1964-06,45.27,18.5
1964-07,111.07,19.5
1964-08,111.58,18.5
1964-09,80.70,15.7
1964-10,82.71,8.0
1964-11,77.17,6.2
1964-12,88.17,0.8
1965-01,90.48,-1.7
1965-02,86.20,-1.2
1965-03,122.79,1.9
1965-04,81.55,9.7
1965-05,80.93,16.3
1965-06,72.30,17.1
1965-07,102.88,19.3
1965-08,70.96,19.0
1965-09,60.26,16.8
1965-10,101.18,8.9
1965-11,25.21,4.9
1965-12,8.15,0.7
1966-01,96.52,-4.5
1966-02,111.83,-1.8
1966-03,37.67,3.8
1966-04,82.50,7.5
1966-05,77.50,13.8
1966-06,34.14,17.4
1966-07,113.77,20.7
1966-08,107.79,18.5
1966-09,182.04,14.2
1966-10,94.34,8.9
1966-11,71.01,4.7
1966-12,88.24,-0.9
1967-01,43.81,-0.3
1967-02,54.73,-2.8
1967-03,105.34,5.0
1967-04,67.67,10.7
1967-05,132.42,11.7
1967-06,57.72,17.2
1967-07,101.86,18.3
1967-08,144.19,17.8
1967-09,68.48,13.1
1967-10,73.89,9.2
1967-11,34.22,2.3
1967-12,155.16,1.5
1968-01,84.75,-3.2
1968-02,9.61,-5.4
1968-03,94.81,4.6
1968-04,92.25,9.8
1968-05,111.42,12.5
1968-06,62.63,17.9
1968-07,97.84,19.9
1968-08,101.98,20.0
1968-09,38.42,14.8
1968-10,166.52,9.8
1968-11,70.70,4.5
1968-12,57.26,-2.0
1969-01,46.78,-3.2
1969-02,76.60,-2.2
1969-03,97.40,-0.1
1969-04,53.90,10.3
1969-05,62.97,14.3
1969-06,121.18,18.8
1969-07,131.79,20.9
1969-08,123.27,18.7
1969-09,99.40,15.0
1969-10,48.02,10.1
1969-11,66.15,2.5
1969-12,148.20,-2.9
1970-01,36.44,-5.6
1970-02,59.09,-1.6
1970-03,49.20,2.5
1970-04,101.91,10.1
1970-05,43.01,15.1
1970-06,98.67,17.8
1970-07,96.68,19.9
1970-08,131.01,19.3
1970-09,54.67,18.1
1970-10,136.01,11.4
1970-11,96.98,4.1
1970-12,69.72,0.9
1971-01,69.32,-3.3
1971-02,108.84,-1.0
1971-03,53.21,1.3
1971-04,69.68,8.1
1971-05,198.72,12.1
1971-06,100.28,18.9
1971-07,118.85,19.1
1971-08,79.78,18.5
1971-09,130.95,17.1
1971-10,162.44,13.0
1971-11,62.83,3.9
1971-12,36.92,4.4
1972-01,112.42,0.8
1972-02,128.29,-2.0
1972-03,74.50,3.5
1972-04,117.12,8.7
1972-05,174.84,13.2
1972-06,226.91,15.1
1972-07,144.85,19.3
1972-08,53.57,18.6
1972-09,118.21,16.6
1972-10,104.18,8.2
1972-11,142.44,3.1
1972-12,128.09,3.0
1973-01,58.89,-1.7
1973-02,94.75,-1.6
1973-03,160.13,7.0
1973-04,153.75,8.1
1973-05,178.37,12.0
1973-06,101.72,19.2
1973-07,108.51,20.0
1973-08,95.19,19.6
1973-09,52.38,17.1
1973-10,125.10,11.4
1973-11,72.61,5.7
1973-12,198.56,-0.5
1974-01,116.41,4.7
1974-02,73.92,0.1
1974-03,109.22,6.4
1974-04,56.79,9.3
1974-05,118.59,13.7
1974-06,127.36,15.8
1974-07,78.10,18.9
1974-08,75.78,18.8
1974-09,106.98,14.4
1974-10,56.91,9.0
1974-11,53.01,4.5
1974-12,102.29,0.1
1975-01,103.07,0.7
1975-02,97.37,1.0
1975-03,213.68,2.1
1975-04,82.63,7.3
1975-05,139.24,15.4
1975-06,83.46,17.9
1975-07,96.94,19.4
1975-08,84.77,20.4
1975-09,149.01,14.9
1975-10,108.06,11.9
1975-11,44.16,6.0
1975-12,49.96,0.6
1976-01,85.27,-3.3
1976-02,55.39,3.9
1976-03,75.44,6.7
1976-04,50.30,10.0
1976-05,118.85,12.6
1976-06,175.78,17.7
1976-07,81.65,18.7
1976-08,47.89,17.7
1976-09,100.71,14.5
1976-10,216.36,7.2
1976-11,39.90,0.7
1976-12,72.48,-2.3
1977-01,49.97,-9.2
1977-02,43.85,-2.6
1977-03,96.67,6.2
1977-04,148.72,11.1
1977-05,54.12,15.6
1977-06,120.04,16.4
1977-07,87.52,20.8
1977-08,111.15,19.8
1977-09,109.39,17.0
1977-10,144.83,8.0
1977-11,193.49,6.1
1977-12,57.92,-1.0
1978-01,151.58,-6.2
1978-02,26.99,-5.8
1978-03,141.80,2.7
1978-04,188.10,9.4
1978-05,114.25,13.3
1978-06,78.23,18.4
1978-07,137.95,19.6
1978-08,138.70,20.4
1978-09,35.75,18.0
1978-10,29.36,9.3
1978-11,88.71,7.2
1978-12,123.31,1.1
1979-01,147.31,-4.4
1979-02,120.57,-4.2
1979-03,139.35,5.2
1979-04,98.94,9.1
1979-05,110.60,13.6
1979-06,171.98,16.4
1979-07,123.39,18.7
1979-08,116.69,19.1
1979-09,233.56,15.2
1979-10,93.93,9.4
1979-11,127.89,6.1
1979-12,55.54,1.8
1980-01,98.99,-0.9
1980-02,23.56,-3.6
1980-03,133.66,2.0
1980-04,179.82,9.6
1980-05,119.77,13.9
1980-06,58.29,17.0
1980-07,169.40,20.9
1980-08,100.11,20.3
1980-09,47.36,17.4
1980-10,68.07,8.8
1980-11,61.76,3.9
1980-12,27.26,-0.1
